Pack														Map													Zone																																																																																									Connections													
Field count							Options																					Type					Restrictions				Player towns					Neutral towns					Town types										Minimum mines							Mine Density							Terrain											Monsters													Treasure									Options												Zones		Options							Restrictions			
Town	Terrain	Zone type	Pack new	Map new	Zone new	Connection new	Name	Description	Town selection	Heroes	Mirror	Tags	Max Battle Rounds	Name	Minimum Size	Maximum Size	Artifacts	Combo Arts	Spells	Secondary skills	Objects	Rock blocks	Zone sparseness	Special weeks disabled	Spell Research	Anarchy	Id	human start	computer start	Treasure	Junction	Base Size	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions	Ownership	Minimum towns	Minimum castles	Town Density	Castle Density	Minimum towns	Minimum castles	Town Density	Castle Density	Towns are of same type	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Conflux	Cove	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Match to town	Dirt	Sand	Grass	Snow	Swamp	Rough	Cave	Lava	Highlands	Wasteland	Strength	Match to town	Neutral	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Conflux	Cove	Low	High	Density	Low	High	Density	Low	High	Density	Placement	Objects	Minimum objects	Image settings	Force neutral creatures	Allow non-coherent road	Zone repulsion	Town Hint	Monsters disposition (standard)	Monsters disposition (custom)	Monsters joining percentage	Monsters join only for money	Zone 1	Zone 2	Value	Wide	Border Guard	Road	Type	Fictive	Portal repulsion	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions
10	10	4	7	10	12	4	Long War	The pack of templates for giant maps. No bans.		+20 +71 +144 +145 +146 +147 +148 +149 +151 +152 +154 +155 +172 +173 				Ring	9	99	+57 +58 +59 +83 +126 +127 +128 +161 				+15 0 d d d d +27 0 d d d d +37 0 d d d d +80 0 d d d d +35 0 d d d d +16 23 d d d d +16 25 d d d d +16 28 d d d d +145 0 d d d d +10 n 15000 d d d +13 0 d d d d +13 1 d d d d +13 2 d d d d 				x		1			x		10	1	8	2	8																						1		1	1	1										x		x			x	x				avg		x	x	x	x	x	x	x	x	x	x	x	15000	25000	1	3000	6000	5	500	3000	7				100 20					3		1	x	1	2	0	x						1	8	2	8	
																											2			x		10	1	8	2	8																						1		1	1	1										x		x			x	x				avg		x	x	x	x	x	x	x	x	x	x	x	15000	25000	1	3000	6000	5	500	3000	7				100 -120					3		1	x	1	3	0							1	8	2	8	
																											3	x				10	1	8	2	8	1		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	4500	7500	1	3000	6000	3	500	3000	9				140 -50					3		1	x	1	4	0							1	8	2	8	
																											4	x				10	1	8	2	8	2		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	4500	7500	1	3000	6000	3	500	3000	9				60 -50					3		1	x	1	5	2000							1	8	3	3	
																											5			x		10	1	8	3	8																						1		1	1	1										x		x			x	x				avg		x	x	x	x	x	x	x	x	x	x	x	15000	25000	1	3000	6000	5	500	3000	7				220 -40					3		1	x	1	6	2000							1	8	4	4	
																											6			x		10	1	8	4	8																						1		1	1	1										x		x			x	x				avg		x	x	x	x	x	x	x	x	x	x	x	15000	25000	1	3000	6000	5	500	3000	7				220 80					3		1	x	1	9	2000							1	8	5	5	
																											7	x				10	1	8	3	8	3		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	4500	7500	1	3000	6000	3	500	3000	9				180 20					3		1	x	1	10	2000							1	8	6	6	
																											8	x				10	1	8	4	8	4		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	4500	7500	1	3000	6000	3	500	3000	9				260 20					3		1	x	1	13	2000							1	8	7	7	
																											9			x		10	1	8	5	8																						1		1	1	1										x		x			x	x				avg		x	x	x	x	x	x	x	x	x	x	x	15000	25000	1	3000	6000	5	500	3000	7				160 140					3		1	x	1	14	2000							1	8	8	8	
																											10			x		10	1	8	6	8																						1		1	1	1										x		x			x	x				avg		x	x	x	x	x	x	x	x	x	x	x	15000	25000	1	3000	6000	5	500	3000	7				40 140					3		1	x	2	3	0							1	8	2	8	
																											11	x				10	1	8	5	8	5		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	4500	7500	1	3000	6000	3	500	3000	9				100 180					3		1	x	2	4	0							1	8	2	8	
																											12	x				10	1	8	6	8	6		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	4500	7500	1	3000	6000	3	500	3000	9				100 100					3		1	x	2	5	2000							1	8	3	8	
																											13			x		10	1	8	7	8																						1		1	1	1										x		x			x	x				avg		x	x	x	x	x	x	x	x	x	x	x	15000	25000	1	3000	6000	5	500	3000	7				-20 80					3		1	x	5	6	0	x						1	8	4	8	
																											14			x		10	1	8	8	8																						1		1	1	1										x		x			x	x				avg		x	x	x	x	x	x	x	x	x	x	x	15000	25000	1	3000	6000	5	500	3000	7				-20 -40					3		1	x	5	7	0							1	8	3	8	
																											15	x				10	1	8	7	8	7		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	4500	7500	1	3000	6000	3	500	3000	9				-60 20					3		1	x	5	8	0							1	8	4	8	
																											16	x				10	1	8	8	8	8		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	4500	7500	1	3000	6000	3	500	3000	9				20 20					3		1	x	6	7	0							1	8	4	8	
																																																																																																																				6	8	0							1	8	4	8	
																																																																																																																				6	9	2000							1	8	5	8	
																																																																																																																				9	10	0	x						1	8	6	8	
																																																																																																																				9	11	0							1	8	5	8	
																																																																																																																				9	12	0							1	8	6	8	
																																																																																																																				10	11	0							1	8	6	8	
																																																																																																																				10	12	0							1	8	6	8	
																																																																																																																				10	13	2000							1	8	7	8	
																																																																																																																				13	14	0	x						1	8	7	8	
																																																																																																																				13	15	0							1	8	7	8	
																																																																																																																				13	16	0							1	8	7	8	
																																																																																																																				14	15	0							1	8	8	8	
																																																																																																																				14	16	0							1	8	8	8	
														Dragons	8	99	+57 +58 +59 +83 +126 +127 +128 +161 				+15 0 d d d d +27 0 d d d d +37 0 d d d d +80 0 d d d d +35 0 d d d d +16 23 d d d d +16 25 d d d d +16 28 d d d d +145 0 d d d d +10 n 15000 d d d +13 0 d d d d +13 1 d d d d +13 2 d d d d 				x		1	x				14	1	2	6	6	1		1									x									1		1			1									x											weak		x	x	x	x	x	x	x	x	x	x	x	1000	2000	4	500	2000	8	0	0	0				-480 380					3		1	x	1	2	0							1	2	6	6	
																											2			x		26	1	2	6	6																						1				1										x		x								avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	100	5000	4	500	3000	8				-420 300					3		1	x	1	3	0							1	2	6	6	
																											3			x		12	1	2	6	6																																				x										none		x	x	x	x	x	x	x	x	x	x	x	500	1500	7	0	0	0	0	0	0				-520 300					3		1	x	2	3	0							1	2	6	6	
																											4		x			30	1	2	6	6	5	1									x										1	1	1												x											avg		x	x	x	x	x	x	x	x	x	x	x	14000	22000	1	2000	6000	4	100	3000	8				-380 380					3		1	x	2	4	0							1	2	6	6	
																											5			x		20	1	2	6	6																									1											x		x								avg		x	x	x	x	x	x	x	x	x	x	x	8000	12000	1	1000	3000	1	500	3000	9				-620 300					3		1	x	2	7	0							1	2	6	6	
																											6			x		12	1	2	6	6																							1													x		x								avg		x	x	x	x	x	x	x	x	x	x	x	3000	6000	4	500	3000	9	0	0	0				-520 200					3		1	x	3	5	0							1	2	6	6	
																											7			x		30	1	2	6	6																								1												x		x								avg		x	x	x	x	x	x	x	x	x	x	x	9000	15000	1	2000	6000	4	100	2000	8				-420 200					3		1	x	3	6	0							1	2	6	6	
																											8			x		30	1	2	6	6																					1															x		x								avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	2000	6000	6	500	3000	6				-340 300					3		1	x	4	8	0							1	2	6	6	
																											9			x		20	1	2	6	6																						1														x		x								avg		x	x	x	x	x	x	x	x	x	x	x	2000	5000	4	0	0	0	0	0	0				-620 200					3		1	x	5	9	0							1	2	6	6	
																											10			x		30	1	2	6	6																										1										x		x								avg		x	x	x	x	x	x	x	x	x	x	x	5000	7000	2	100	4000	3	500	3000	8				-520 100					3		1	x	6	7	0							1	2	6	6	
																											11		x			12	1	2	6	6	4	1											x								1															x		x								avg		x	x	x	x	x	x	x	x	x	x	x	3000	6000	3	500	3000	9	0	0	0				-470 150					3		1	x	6	9	0							1	2	6	6	
																											12			x		10	1	2	6	6																																				x										none		x	x	x	x	x	x	x	x	x	x	x	500	1500	7	0	0	0	0	0	0				-420 100					3		1	x	6	10	0							1	2	6	6	
																											13			x		10	1	2	6	6																																				x										none		x	x	x	x	x	x	x	x	x	x	x	500	1500	7	0	0	0	0	0	0				-340 200					3		1	x	6	11	0							1	2	6	6	
																											14			x		20	1	2	6	6																							1													x		x								avg		x	x	x	x	x	x	x	x	x	x	x	1000	4000	3	500	3000	10	0	0	0				-620 100					3		1	x	7	8	0							1	2	6	6	
																											15			x		16	1	2	6	6																																				x						x				none		x	x	x	x	x	x	x	x	x	x	x	500	1500	7	0	0	0	0	0	0				-260 200					3		1	x	7	12	0							1	2	6	6	
																											16			x		30	1	2	6	6																																				x						x				none		x	x	x	x	x	x	x	x	x	x	x	500	1500	7	0	0	0	0	0	0				-200 200					3		1	x	7	13	0							1	2	6	6	
																											17			x		12	1	2	6	6																																				x						x	x			avg		x	x	x	x	x	x	x	x	x	x	x	7000	13000	1	3000	7000	5	500	2000	7				-260 300					3		1	x	8	13	0							1	2	6	6	
																											18			x		10	1	2	6	6																																				x						x	x			avg		x	x	x	x	x	x	x	x	x	x	x	1000	3000	8	500	3000	5	0	0	0				-80 100					3		1	x	9	10	0							1	2	6	6	
																											19			x		10	1	2	6	6																																				x						x	x			weak		x	x	x	x	x	x	x	x	x	x	x	3000	6000	4	100	1500	8	0	0	0				-200 100					3		1	x	9	14	0							1	2	6	6	
																											20			x		12	1	2	6	6																																				x						x	x			weak		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	1000	5000	4	100	2000	8				-140 100					3		1	x	10	12	0							1	2	6	6	
																											21			x		12	1	2	6	6																																				x						x	x			avg		x	x	x	x	x	x	x	x	x	x	x	500	2000	10	0	0	0	0	0	0				-140 200					3		1	x	10	14	0							1	2	6	6	
																											22			x		16	1	2	6	6																																				x						x				none		x	x	x	x	x	x	x	x	x	x	x	500	1500	7	0	0	0	0	0	0				-260 380					3		1	x	13	15	8000							1	2	6	6	
																											23			x		10	1	2	6	6																																				x						x	x			weak		x	x	x	x	x	x	x	x	x	x	x	1000	5000	6	500	3000	7	0	0	0				-80 200					3		1	x	15	16	0							1	2	6	6	
																											24			x		16	1	2	6	6																							1	1												x						x	x			weak		x	x	x	x	x	x	x	x	x	x	x	500	3000	10	0	0	0	0	0	0				-200 380					3		1	x	15	17	0							1	2	6	6	
																											25			x		18	1	2	6	6																						1	1	1	1	1										x						x	x			weak		x	x	x	x	x	x	x	x	x	x	x	3000	6000	2	100	1500	8	0	0	0				-20 200					3		1	x	16	18	0							1	2	6	6	
																											26			x		8	1	2	6	6																																				x						x				none		x	x	x	x	x	x	x	x	x	x	x	500	1500	7	0	0	0	0	0	0				-140 380					3		1	x	16	19	0							1	2	6	6	
																											27			x		8	1	2	6	6																																				x						x				none		x	x	x	x	x	x	x	x	x	x	x	500	1500	7	0	0	0	0	0	0				40 200					3		1	x	16	20	0							1	2	6	6	
																											28		x			16	1	2	6	6	3	1													x						1														x											weak		x	x	x	x	x	x	x	x	x	x	x	100	2000	10	0	0	0	0	0	0				-80 380					3		1	x	16	21	0							1	2	6	6	
																											29	x				12	1	2	6	6	2		1													x					1														x											weak		x	x	x	x	x	x	x	x	x	x	x	500	2000	10	0	0	0	0	0	0				100 200					3		1	x	17	22	2000							1	2	6	6	
																											30			x		8	1	2	6	6																																				x						x				none		x	x	x	x	x	x	x	x	x	x	x	500	1500	7	0	0	0	0	0	0				-20 380					3		1	x	21	23	0							1	2	6	6	
																											31			x		16	1	2	6	6																						1		1		1										x						x	x			weak		x	x	x	x	x	x	x	x	x	x	x	1000	6000	6	500	3000	7	0	0	0				40 380					3		1	x	22	24	0							1	2	6	6	
																											32		x			12	1	2	6	6	6													x									1												x											avg		x	x	x	x	x	x	x	x	x	x	x	100	2000	10	0	0	0	0	0	0				100 380					3		1	x	23	25	0							1	2	6	6	
																											33			x		20	1	2	6	6																					1			1												x						x	x			weak		x	x	x	x	x	x	x	x	x	x	x	10000	14000	1	4000	8000	2	100	2000	7				160 380					3		1	x	24	26	0							1	2	6	6	
																																																																																																																				25	27	0							1	2	6	6	
																																																																																																																				26	28	0							1	2	6	6	
																																																																																																																				27	29	0							1	2	6	6	
																																																																																																																				28	30	0							1	2	6	6	
																																																																																																																				30	31	0							1	2	6	6	
																																																																																																																				31	32	0							1	2	6	6	
																																																																																																																				32	33	0							1	2	6	6	
														Gauntlet	9	99	+57 +58 +59 +83 +126 +127 +128 +161 				+15 0 d d d d +27 0 d d d d +37 0 d d d d +80 0 d d d d +35 0 d d d d +16 23 d d d d +16 25 d d d d +16 28 d d d d +145 0 d d d d +10 n 15000 d d d +13 0 d d d d +13 1 d d d d +13 2 d d d d 				x		1	x				6	1	1	6	6	1		1							x	x	x	x	x	x	x																							x							weak		x	x	x	x				x	x		x	5000	8000	1	3000	6000	2	500	3000	10				-60 -20					3		1	x	1	2	0							1	1	6	6	
																											2			x		6	1	1	6	6																							1																x							weak		x	x	x	x				x	x		x	3000	6000	3	500	3000	10	0	0	0				-110 -20					3		1	x	1	4	0							1	1	6	6	
																											3			x		8	1	1	6	6																																							x							weak		x	x	x	x				x	x		x	10000	14000	1	4000	8000	3	500	3000	9				-160 -20					3		1	x	1	5	0							1	1	6	6	
																											4			x		6	1	1	6	6																					1																		x							weak		x	x	x	x				x	x		x	3000	6000	3	500	3000	10	0	0	0				-10 -20					3		1	x	1	15	12500			-				1	1	6	6	
																											5			x		6	1	1	6	6																																				x	x				x					weak		x	x	x	x				x	x		x	100	2000	8	0	0	0	0	0	0				-60 40					3		1	x	2	3	0							1	1	6	6	
																											6			x		8	1	1	6	6																						1		1		1										x	x				x					avg		x	x	x	x				x	x		x	3000	6000	4	500	3000	8	0	0	0				-10 40					3		1	x	5	6	0							1	1	6	6	
																											7			x		10	1	1	6	6																																								x						avg		x	x	x	x				x	x		x	12000	18000	1	5000	10000	5	1000	4000	7				30 40					3		1	x	5	21	12500			-				1	1	6	6	
																											8			x		10	1	1	6	6																																								x						avg		x	x	x	x				x	x		x	5000	10000	6	1000	4000	7	0	0	0				80 40					3		1	x	6	7	0	x						1	1	6	6	
																											9			x		10	1	1	6	6																									1											x		x								avg		x	x	x	x				x	x		x	15000	20000	1	4000	8000	3	500	3000	9				80 -20					3		1	x	7	8	0	x						1	1	6	6	
																											10			x		10	1	1	6	6																					1	1	1													x		x			x					avg		x	x	x	x				x	x		x	4000	8000	4	500	3000	9	0	0	0				80 -80					3		1	x	8	9	0							1	1	6	6	
																											11		x			10	1	1	6	6	2		1								x	x									1		1												x											weak	x												5000	10000	1	4000	8000	4	1000	4000	8				30 -80					3		1	x	9	10	0							1	1	6	6	
																											12			x		10	1	1	6	6																																				x		x			x					avg		x	x	x	x				x	x		x	10000	14000	1	4000	8000	3	500	3000	9				80 -140					3		1	x	10	11	0							1	1	6	6	
																											13			x		6	1	1	6	6																																				x		x			x					weak		x	x	x	x				x	x		x	100	2000	8	0	0	0	0	0	0				40 -140					3		1	x	10	12	0							1	1	6	6	
																											14			x		10	1	1	6	6																						1		1		1										x		x			x					avg		x	x	x	x				x	x		x	4000	8000	5	500	3000	8	0	0	0				-10 -140					3		1	x	12	13	0							1	1	6	6	
																											15		x			10	1	1	6	6	4		1								x	x					x				1		1		1										x											weak	x												5000	10000	1	4000	8000	4	1000	4000	8				-60 -140					3		1	x	13	14	0							1	1	6	6	
																											16			x		10	1	1	6	6																																				x		x			x					weak		x	x	x	x				x	x		x	10000	14000	1	4000	8000	5	500	3000	7				-160 -140					3		1	x	14	15	0							1	1	6	6	
																											17		x			10	1	1	6	6	6		1								x	x					x				1		1			1									x											weak	x												4000	8000	5	500	3000	8	0	0	0				-250 -140					3		1	x	15	16	0							1	1	6	6	
																											18			x		10	1	1	6	6																						1		1	1											x		x			x					avg		x	x	x	x				x	x		x	5000	10000	4	500	3000	9	0	0	0				-250 -70					3		1	x	16	17	0							1	1	6	6	
																											19			x		6	1	1	6	6																																				x		x			x					weak		x	x	x	x				x	x		x	100	2000	8	0	0	0	0	0	0				-250 40					3		1	x	17	18	0							1	1	6	6	
																											20			x		8	1	1	6	6																								1	1	1										x		x			x					avg		x	x	x	x				x	x		x	5000	10000	4	500	3000	9	0	0	0				-160 40					3		1	x	18	19	0							1	1	6	6	
																											21		x			8	1	1	6	6	5		1								x	x					x				1	1	1												x											weak	x												5000	10000	3	500	3000	10	0	0	0				-110 40					3		1	x	18	22	0							1	1	6	6	
																											22			x		6	1	1	6	6																																				x		x			x					weak		x	x	x	x				x	x		x	100	2000	8	0	0	0	0	0	0				-200 -70					3		1	x	19	20	0							1	1	6	6	
																											23			x		8	1	1	6	6																						1		1	1											x		x			x					weak		x	x	x	x				x	x		x	8000	12000	2	6000	10000	4	1000	5000	8				-150 -70					3		1	x	20	21	0							1	1	6	6	
																											24		x			8	1	1	6	6	3		1								x	x					x				1		1			1									x											none		x	x	x	x	x	x	x	x	x	x	x	5000	10000	1	4000	8000	3	1000	4000	8				-100 -70					3		1	x	22	23	0							1	1	6	6	
																																																																																																																				23	24	0							1	1	6	6	
														Ready or Not	9	99	+57 +58 +59 +83 +126 +127 +128 +161 				+15 0 d d d d +27 0 d d d d +37 0 d d d d +80 0 d d d d +35 0 d d d d +16 23 d d d d +16 25 d d d d +16 28 d d d d +145 0 d d d d +10 n 15000 d d d +13 0 d d d d +13 1 d d d d +13 2 d d d d 				x		1	x				10	1	3	2	3	1		1							x								x			1	1	1												x											avg	x												500	3000	9	500	3000	6	3000	6000	1				-110 20					3		1	x	1	5	6000							1	3	2	3	
																											2	x				10	1	3	2	3	2		1							x				x							1		1	1											x											avg	x												500	3000	9	500	3000	6	3000	6000	1				-60 -30					3		1	x	1	8								1	3	2	3	
																											3	x				10	1	3	2	3	3		1							x		x									1		1		1										x											avg	x												500	3000	9	500	3000	6	3000	6000	1				-10 20					3		1	x	2	5	6000							1	3	2	3	
																											4			x		15	1	3	2	3							1					x									1	1	1	1	1	1	1								x											avg		x				x				x			3000	6000	6	10000	15000	1	500	3000	9				0 80					3		1	x	2	9								1	3	2	3	
																											5			x		5	1	3	2	3																					1		1													x	x		x	x	x	x				avg		x	x	x	x	x	x	x	x	x	x	x	3000	6000	1	500	3000	6	500	3000	9				-60 20					3		1	x	3	5	6000							1	3	2	3	
																											6			x		15	1	3	2	3							1											x			1	1	1	1	1	1	1								x											avg		x		x		x							3000	6000	6	10000	15000	1	500	3000	9				-60 80					3		1	x	3	10								1	3	2	3	
																											7			x		15	1	3	2	3							1							x							1	1	1	1	1	1	1								x											avg		x		x						x			3000	6000	6	10000	15000	1	500	3000	9				-120 80					3		1	x	4	5	12500							1	3	2	3	
